query_id,target_id,score
q_0f96c625b9cd,g_f9d76f64d617,0.5286798477172852
q_0f96c625b9cd,g_7944a8a0c287,0.5473319888114929
q_0f96c625b9cd,g_13da2f95f620,0.6537455916404724
q_0f96c625b9cd,g_9f1cf15a2d25,0.5953944325447083
q_0f96c625b9cd,g_a6bf3a75923e,0.46346548199653625
q_0f96c625b9cd,g_6fa85c5d715e,0.5505518317222595
q_0f96c625b9cd,g_aff5d510e717,0.501935601234436
q_0f96c625b9cd,g_50b48a5cc083,0.553878128528595
q_0f96c625b9cd,g_435a82857e20,0.7328627109527588
q_0f96c625b9cd,g_87349afa09f2,0.6327330470085144
q_0f96c625b9cd,g_97e267815836,0.5214459896087646
q_0f96c625b9cd,g_db4a8dbe790b,0.7181379199028015
q_0f96c625b9cd,g_da1e5df4bc02,0.6534197330474854
q_0f96c625b9cd,g_19b453348e54,0.5929518342018127
q_0f96c625b9cd,g_da5aa13b1968,0.6874700784683228
q_0f96c625b9cd,g_d648ead5c900,0.6723165512084961
q_0f96c625b9cd,g_bf9a2a253bcd,0.5899873375892639
q_0f96c625b9cd,g_0543c42a8f32,0.6031268835067749
q_0f96c625b9cd,g_626dcdad119a,0.5761781334877014
q_0f96c625b9cd,g_8f1a5d85202c,0.6414058804512024
q_0f96c625b9cd,g_671004fc2775,0.5581374764442444
q_0f96c625b9cd,g_68971be96048,0.6360728740692139
q_0f96c625b9cd,g_018969561d96,0.5747886300086975
q_0f96c625b9cd,g_e9acdf8b8ddc,0.5516230463981628
q_0f96c625b9cd,g_0e83f250306f,0.5579885840415955
q_0f96c625b9cd,g_1307a0fd7c6b,0.6272304058074951
q_0f96c625b9cd,g_fd816175409d,0.5252384543418884
q_0f96c625b9cd,g_687f1f38b2c3,0.5286048650741577
q_0f96c625b9cd,g_d889b7fc777b,0.5786913633346558
q_0f96c625b9cd,g_de34db7b1c7f,0.6207343339920044
q_0f96c625b9cd,g_31e014b88352,0.5573206543922424
q_0f96c625b9cd,g_9053723af4c5,0.5657889246940613
q_0f96c625b9cd,g_1a5aac51a659,0.518370509147644
q_0f96c625b9cd,g_9196ee89c94d,0.6059542298316956
q_0f96c625b9cd,g_858dc785cf2d,0.5783616900444031
q_0f96c625b9cd,g_130a37598824,0.6324073672294617
q_0f96c625b9cd,g_cfe6c79baec5,0.5374243259429932
q_0f96c625b9cd,g_0b251252e181,0.543660044670105
q_0f96c625b9cd,g_efaf352ea572,0.5335433483123779
q_0f96c625b9cd,g_cdab0312f9ba,0.5258440375328064
q_7e0d043dbb36,g_f9d76f64d617,0.5641806125640869
q_7e0d043dbb36,g_7944a8a0c287,0.5780965089797974
q_7e0d043dbb36,g_13da2f95f620,0.5919086933135986
q_7e0d043dbb36,g_9f1cf15a2d25,0.6245978474617004
q_7e0d043dbb36,g_a6bf3a75923e,0.5099379420280457
q_7e0d043dbb36,g_6fa85c5d715e,0.5757922530174255
q_7e0d043dbb36,g_aff5d510e717,0.5219851136207581
q_7e0d043dbb36,g_50b48a5cc083,0.598722517490387
q_7e0d043dbb36,g_435a82857e20,0.7065606713294983
q_7e0d043dbb36,g_87349afa09f2,0.660659909248352
q_7e0d043dbb36,g_97e267815836,0.5436395406723022
q_7e0d043dbb36,g_db4a8dbe790b,0.7198062539100647
q_7e0d043dbb36,g_da1e5df4bc02,0.6746894121170044
q_7e0d043dbb36,g_19b453348e54,0.5955225825309753
q_7e0d043dbb36,g_da5aa13b1968,0.6861780881881714
q_7e0d043dbb36,g_d648ead5c900,0.6753302216529846
q_7e0d043dbb36,g_bf9a2a253bcd,0.6060473322868347
q_7e0d043dbb36,g_0543c42a8f32,0.6879249811172485
q_7e0d043dbb36,g_626dcdad119a,0.597855806350708
q_7e0d043dbb36,g_8f1a5d85202c,0.667762815952301
q_7e0d043dbb36,g_671004fc2775,0.5864227414131165
q_7e0d043dbb36,g_68971be96048,0.6492942571640015
q_7e0d043dbb36,g_018969561d96,0.604631245136261
q_7e0d043dbb36,g_e9acdf8b8ddc,0.5965840816497803
q_7e0d043dbb36,g_0e83f250306f,0.5800501704216003
q_7e0d043dbb36,g_1307a0fd7c6b,0.6090176105499268
q_7e0d043dbb36,g_fd816175409d,0.5611024498939514
q_7e0d043dbb36,g_687f1f38b2c3,0.5635843873023987
q_7e0d043dbb36,g_d889b7fc777b,0.5799547433853149
q_7e0d043dbb36,g_de34db7b1c7f,0.6401379108428955
q_7e0d043dbb36,g_31e014b88352,0.5708898901939392
q_7e0d043dbb36,g_9053723af4c5,0.5899038910865784
q_7e0d043dbb36,g_1a5aac51a659,0.5410448908805847
q_7e0d043dbb36,g_9196ee89c94d,0.6469544172286987
q_7e0d043dbb36,g_858dc785cf2d,0.5967469811439514
q_7e0d043dbb36,g_130a37598824,0.6485901474952698
q_7e0d043dbb36,g_cfe6c79baec5,0.5659188628196716
q_7e0d043dbb36,g_0b251252e181,0.56253981590271
q_7e0d043dbb36,g_efaf352ea572,0.5448355674743652
q_7e0d043dbb36,g_cdab0312f9ba,0.5442067980766296
q_80236cba65d9,g_f9d76f64d617,0.5203372836112976
q_80236cba65d9,g_7944a8a0c287,0.5346269607543945
q_80236cba65d9,g_13da2f95f620,0.571837306022644
q_80236cba65d9,g_9f1cf15a2d25,0.5970652103424072
q_80236cba65d9,g_a6bf3a75923e,0.47421014308929443
q_80236cba65d9,g_6fa85c5d715e,0.5521647334098816
q_80236cba65d9,g_aff5d510e717,0.49546578526496887
q_80236cba65d9,g_50b48a5cc083,0.5626377463340759
q_80236cba65d9,g_435a82857e20,0.7131015658378601
q_80236cba65d9,g_87349afa09f2,0.6262603402137756
q_80236cba65d9,g_97e267815836,0.5093933939933777
q_80236cba65d9,g_db4a8dbe790b,0.7221447825431824
q_80236cba65d9,g_da1e5df4bc02,0.6658865809440613
q_80236cba65d9,g_19b453348e54,0.5890569686889648
q_80236cba65d9,g_da5aa13b1968,0.6713616251945496
q_80236cba65d9,g_d648ead5c900,0.66567063331604
q_80236cba65d9,g_bf9a2a253bcd,0.574927568435669
q_80236cba65d9,g_0543c42a8f32,0.6140516400337219
q_80236cba65d9,g_626dcdad119a,0.5957008600234985
q_80236cba65d9,g_8f1a5d85202c,0.6271737813949585
q_80236cba65d9,g_671004fc2775,0.552545428276062
q_80236cba65d9,g_68971be96048,0.6300932765007019
q_80236cba65d9,g_018969561d96,0.5687676668167114
q_80236cba65d9,g_e9acdf8b8ddc,0.5589818954467773
